year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,1,lat,Corridor_4x4_lag643,3.1003,2.1278,2.1209,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,Debiased_Whittle,3.1776,2.2448,2.2376,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,Vecchia_mm20,3.1320,2.2594,2.2594,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723
2022,7,1,lon,Corridor_4x4_lag643,0.2592,0.1942,-0.1141,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lon,Debiased_Whittle,0.3301,0.2288,0.0690,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lon,Vecchia_mm20,0.2678,0.2140,0.0415,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723
2022,7,2,lat,Corridor_4x4_lag643,3.9904,2.8069,2.2828,7.0359,0.1715,0.1787,1.0242,0.0075,-0.2795,1.8939
2022,7,2,lat,Debiased_Whittle,4.6588,3.3209,3.1365,6.4137,0.1200,0.1311,0.8784,0.0299,-0.2897,1.4776
2022,7,2,lat,Vecchia_mm20,3.0795,1.9017,1.6634,7.8296,0.3299,0.3572,1.6104,0.0263,-0.1932,2.6110
2022,7,2,lon,Corridor_4x4_lag643,0.8282,0.7296,-0.1029,7.0359,0.1715,0.1787,1.0242,0.0075,-0.2795,1.8939
2022,7,2,lon,Debiased_Whittle,1.2411,0.9564,0.7065,6.4137,0.1200,0.1311,0.8784,0.0299,-0.2897,1.4776
2022,7,2,lon,Vecchia_mm20,0.8281,0.6888,-0.6761,7.8296,0.3299,0.3572,1.6104,0.0263,-0.1932,2.6110
2022,7,3,lat,Corridor_4x4_lag643,4.2676,3.0070,2.9629,8.8221,0.1898,0.2358,1.0405,0.0182,-0.1128,1.5376
2022,7,3,lat,Debiased_Whittle,6.8721,5.9406,5.9406,5.9562,0.1507,0.1610,0.8402,0.0092,-0.0588,1.0284
2022,7,3,lat,Vecchia_mm20,2.9441,1.9782,1.9236,10.2319,0.3491,0.5161,1.8609,0.0359,-0.1294,2.2946
2022,7,3,lon,Corridor_4x4_lag643,0.7247,0.5236,-0.1253,8.8221,0.1898,0.2358,1.0405,0.0182,-0.1128,1.5376
2022,7,3,lon,Debiased_Whittle,2.9063,2.7017,2.7017,5.9562,0.1507,0.1610,0.8402,0.0092,-0.0588,1.0284
2022,7,3,lon,Vecchia_mm20,0.9863,0.8761,-0.6504,10.2319,0.3491,0.5161,1.8609,0.0359,-0.1294,2.2946
2022,7,4,lat,Corridor_4x4_lag643,2.7767,1.9854,1.4346,7.6722,0.1842,0.1821,1.2079,0.0455,-0.1758,2.1201
2022,7,4,lat,Debiased_Whittle,3.8397,2.8408,2.8255,6.1565,0.1759,0.1635,1.1198,0.0312,-0.2129,2.0101
2022,7,4,lat,Vecchia_mm20,1.8773,1.1673,0.8242,8.4243,0.3425,0.3735,2.0497,0.0135,-0.1327,2.9670
2022,7,4,lon,Corridor_4x4_lag643,0.6342,0.5322,-0.5042,7.6722,0.1842,0.1821,1.2079,0.0455,-0.1758,2.1201
2022,7,4,lon,Debiased_Whittle,1.0528,0.8912,0.8744,6.1565,0.1759,0.1635,1.1198,0.0312,-0.2129,2.0101
2022,7,4,lon,Vecchia_mm20,1.2176,1.0484,-1.0089,8.4243,0.3425,0.3735,2.0497,0.0135,-0.1327,2.9670
2022,7,5,lat,Corridor_4x4_lag643,3.6479,2.6790,2.3148,6.5943,0.1874,0.1871,1.2409,0.0212,-0.2109,1.2005
2022,7,5,lat,Debiased_Whittle,4.7135,3.5951,3.5851,5.2483,0.1396,0.1333,1.1900,0.0330,-0.2063,1.0364
2022,7,5,lat,Vecchia_mm20,2.5383,1.6348,1.4627,7.6151,0.3265,0.3837,2.0529,0.0222,-0.1464,1.9366
