year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2022,Corridor_4x4_lag643,2022-07-01,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072,1.2093,35.4315
2022,Debiased_Whittle,2022-07-1,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864,115551.0880,111.7636
2022,Vecchia_mm20,2022-07-1,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723,1.2591,54.4569
2022,Corridor_4x4_lag643,2022-07-02,7.0359,0.1715,0.1787,1.0242,0.0075,-0.2795,1.8939,1.2553,24.8630
2022,Debiased_Whittle,2022-07-2,6.4137,0.1200,0.1311,0.8784,0.0299,-0.2897,1.4776,246956.5280,94.1755
2022,Vecchia_mm20,2022-07-2,7.8296,0.3299,0.3572,1.6104,0.0263,-0.1932,2.6110,1.3469,39.9762
2022,Corridor_4x4_lag643,2022-07-03,8.8221,0.1898,0.2358,1.0405,0.0182,-0.1128,1.5376,1.2257,21.7607
2022,Debiased_Whittle,2022-07-3,5.9562,0.1507,0.1610,0.8402,0.0092,-0.0588,1.0284,-79128.9280,75.2054
2022,Vecchia_mm20,2022-07-3,10.2319,0.3491,0.5161,1.8609,0.0359,-0.1294,2.2946,1.3337,33.3842
2022,Corridor_4x4_lag643,2022-07-04,7.6722,0.1842,0.1821,1.2079,0.0455,-0.1758,2.1201,1.2960,27.8050
2022,Debiased_Whittle,2022-07-4,6.1565,0.1759,0.1635,1.1198,0.0312,-0.2129,2.0101,224817.5680,82.9525
2022,Vecchia_mm20,2022-07-4,8.4243,0.3425,0.3735,2.0497,0.0135,-0.1327,2.9670,1.3877,44.1352
2022,Corridor_4x4_lag643,2022-07-05,6.5943,0.1874,0.1871,1.2409,0.0212,-0.2109,1.2005,1.1134,22.4951
2022,Debiased_Whittle,2022-07-5,5.2483,0.1396,0.1333,1.1900,0.0330,-0.2063,1.0364,-80700.0800,77.4687
2022,Vecchia_mm20,2022-07-5,7.6151,0.3265,0.3837,2.0529,0.0222,-0.1464,1.9366,1.2492,31.3534
2022,Corridor_4x4_lag643,2022-07-06,6.9239,0.1930,0.2185,1.3918,-0.0003,-0.0180,2.1403,1.2451,31.5396
2022,Debiased_Whittle,2022-07-6,4.7351,0.1162,0.1013,0.7036,-0.0008,0.0000,1.6871,173398.0480,106.0738
2022,Vecchia_mm20,2022-07-6,8.9506,0.4537,0.6665,3.3791,-0.0082,-0.0399,2.8998,1.3153,50.6737
2022,Corridor_4x4_lag643,2022-07-07,9.8653,0.2142,0.2655,1.1956,-0.0394,-0.0994,1.1792,1.1722,20.8654
2022,Debiased_Whittle,2022-07-7,6.9742,0.2025,0.2417,1.1187,0.0043,0.0049,0.6920,-331655.9040,80.0239
2022,Vecchia_mm20,2022-07-7,12.4547,0.3713,0.5735,2.1040,-0.0465,-0.0842,1.9859,1.3296,32.6067
2022,Corridor_4x4_lag643,2022-07-08,9.4116,0.2434,0.2266,1.1260,0.0100,-0.0713,0.7720,1.0863,17.9082
2022,Debiased_Whittle,2022-07-8,5.2696,0.1730,0.1454,0.9549,0.0270,-0.1214,0.4676,-470060.1120,61.0386
2022,Vecchia_mm20,2022-07-8,11.9798,0.4298,0.4289,1.9655,-0.0020,-0.0716,1.2737,1.2425,27.9500
2022,Corridor_4x4_lag643,2022-07-09,9.8838,0.2259,0.1908,1.2120,0.0250,-0.1979,1.5288,1.2530,24.5522
2022,Debiased_Whittle,2022-07-9,7.7887,0.2004,0.1587,0.9086,-0.0605,0.0795,1.4408,160114.6720,89.4674
2022,Vecchia_mm20,2022-07-9,10.1947,0.3914,0.3685,2.0393,0.0290,-0.1599,2.3325,1.3545,37.5438
2022,Corridor_4x4_lag643,2022-07-10,9.9370,0.2100,0.1992,1.2940,0.0056,-0.3099,1.4960,1.2579,24.6262
2022,Debiased_Whittle,2022-07-10,6.5064,0.1338,0.1096,0.9013,-0.0112,-0.3772,1.2877,234387.3120,92.5345
2022,Vecchia_mm20,2022-07-10,12.0629,0.4520,0.4892,2.4367,0.0073,-0.2693,2.5742,1.3821,35.5942
2022,Corridor_4x4_lag643,2022-07-11,5.9939,0.1915,0.2049,1.0377,-0.0236,-0.2359,1.3456,1.1034,22.4319
2022,Debiased_Whittle,2022-07-11,5.0045,0.1436,0.1381,0.8876,-0.0069,-0.4371,0.9998,-166827.7760,80.0369
2022,Vecchia_mm20,2022-07-11,7.7134,0.4406,0.5486,2.1837,-0.0155,-0.1289,1.8289,1.1784,30.2780
2022,Corridor_4x4_lag643,2022-07-12,8.4238,0.2134,0.2091,1.1038,-0.0275,-0.1185,1.3961,1.1880,22.7331
2022,Debiased_Whittle,2022-07-12,8.3647,0.2047,0.1782,1.1813,-0.0111,0.0429,1.3371,155829.7120,86.8915
2022,Vecchia_mm20,2022-07-12,9.7008,0.4259,0.5003,2.2076,-0.0174,-0.0921,2.3192,1.3047,30.6100
2022,Corridor_4x4_lag643,2022-07-13,7.8807,0.1667,0.1766,1.1025,0.0010,-0.2286,1.9613,1.2975,26.6344
