year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2023,7,1,lat,Corridor_4x4_lag643,1.1068,0.8180,0.1961,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065
2023,7,1,lat,Debiased_Whittle,4.4095,4.0246,4.0246,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125
2023,7,1,lat,Vecchia_mm20,1.0781,0.7427,0.5915,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739
2023,7,1,lon,Corridor_4x4_lag643,1.2480,1.0981,-1.0981,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065
2023,7,1,lon,Debiased_Whittle,2.7216,2.5164,2.5164,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125
2023,7,1,lon,Vecchia_mm20,0.7148,0.6613,-0.4578,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739
2023,7,2,lat,Corridor_4x4_lag643,0.9551,0.7725,0.4867,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485
2023,7,2,lat,Debiased_Whittle,2.8995,2.6628,2.6628,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579
2023,7,2,lat,Vecchia_mm20,0.6315,0.5617,-0.2539,10.7740,0.2245,0.2937,2.1070,0.0036,-0.0697,2.9197
2023,7,2,lon,Corridor_4x4_lag643,0.7925,0.6873,-0.1065,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485
2023,7,2,lon,Debiased_Whittle,2.2650,1.9565,1.9565,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579
2023,7,2,lon,Vecchia_mm20,0.9303,0.7697,-0.6065,10.7740,0.2245,0.2937,2.1070,0.0036,-0.0697,2.9197
2023,7,3,lat,Corridor_4x4_lag643,0.3131,0.2532,-0.1029,8.0858,0.1900,0.2287,1.5718,0.0115,-0.0723,2.8134
2023,7,3,lat,Debiased_Whittle,0.9162,0.8442,0.3782,6.6233,0.1299,0.1638,1.1947,0.0359,-0.0878,3.3147
2023,7,3,lat,Vecchia_mm20,2.2718,1.8780,-1.8170,10.4627,0.4461,0.6306,3.7250,0.0017,-0.0522,3.9979
2023,7,3,lon,Corridor_4x4_lag643,0.6485,0.5362,-0.2589,8.0858,0.1900,0.2287,1.5718,0.0115,-0.0723,2.8134
2023,7,3,lon,Debiased_Whittle,0.9833,0.8549,0.1630,6.6233,0.1299,0.1638,1.1947,0.0359,-0.0878,3.3147
2023,7,3,lon,Vecchia_mm20,1.6757,1.3586,-1.2886,10.4627,0.4461,0.6306,3.7250,0.0017,-0.0522,3.9979
2023,7,4,lat,Corridor_4x4_lag643,1.4026,1.1413,0.7701,9.1719,0.1811,0.1971,1.0936,0.0351,-0.2620,1.2019
2023,7,4,lat,Debiased_Whittle,1.5703,1.3488,0.7510,9.3581,0.1488,0.1601,1.1396,0.0397,-0.2921,0.8448
2023,7,4,lat,Vecchia_mm20,1.2366,1.0174,1.0174,9.3787,0.2616,0.2901,1.4063,0.0260,-0.2293,1.2726
2023,7,4,lon,Corridor_4x4_lag643,0.7807,0.6658,0.2866,9.1719,0.1811,0.1971,1.0936,0.0351,-0.2620,1.2019
2023,7,4,lon,Debiased_Whittle,0.9573,0.8409,0.2929,9.3581,0.1488,0.1601,1.1396,0.0397,-0.2921,0.8448
2023,7,4,lon,Vecchia_mm20,0.6502,0.5819,0.5819,9.3787,0.2616,0.2901,1.4063,0.0260,-0.2293,1.2726
2023,7,5,lat,Corridor_4x4_lag643,5.6453,4.1963,3.4536,11.3445,0.1786,0.2361,1.1860,-0.0053,-0.3066,1.3691
2023,7,5,lat,Debiased_Whittle,7.0588,5.2957,5.2372,9.8296,0.1730,0.2312,1.2132,-0.0219,-0.3962,0.8417
2023,7,5,lat,Vecchia_mm20,3.6814,2.3503,2.0736,13.7447,0.3640,0.5229,2.1224,-0.0014,-0.2666,2.1564
2023,7,5,lon,Corridor_4x4_lag643,1.0576,0.9501,-0.3109,11.3445,0.1786,0.2361,1.1860,-0.0053,-0.3066,1.3691
2023,7,5,lon,Debiased_Whittle,1.9376,1.5359,1.4640,9.8296,0.1730,0.2312,1.2132,-0.0219,-0.3962,0.8417
2023,7,5,lon,Vecchia_mm20,1.2951,1.1342,-1.0641,13.7447,0.3640,0.5229,2.1224,-0.0014,-0.2666,2.1564
2023,7,6,lat,Corridor_4x4_lag643,3.1972,2.5669,1.2743,14.2328,0.2071,0.2504,1.1736,-0.0234,-0.2556,1.3131
2023,7,6,lat,Debiased_Whittle,4.6229,3.6040,3.0028,12.0909,0.1626,0.1864,1.0010,-0.0391,-0.2836,1.1493
2023,7,6,lat,Vecchia_mm20,2.4083,1.5605,1.4181,14.6616,0.3245,0.4480,1.6777,-0.0179,-0.2029,2.0066
2023,7,6,lon,Corridor_4x4_lag643,1.5851,1.4017,-1.0931,14.2328,0.2071,0.2504,1.1736,-0.0234,-0.2556,1.3131
2023,7,6,lon,Debiased_Whittle,1.7088,1.3905,0.4893,12.0909,0.1626,0.1864,1.0010,-0.0391,-0.2836,1.1493
2023,7,6,lon,Vecchia_mm20,0.9619,0.7984,-0.5798,14.6616,0.3245,0.4480,1.6777,-0.0179,-0.2029,2.0066
2023,7,7,lat,Corridor_4x4_lag643,3.2298,2.4297,2.1373,12.8291,0.1891,0.2675,1.2266,0.0149,-0.1798,0.9921
2023,7,7,lat,Debiased_Whittle,4.1468,3.2800,2.8859,11.5421,0.1519,0.2043,0.9545,0.0280,-0.2047,1.0111
2023,7,7,lat,Vecchia_mm20,1.3178,1.0045,0.2418,15.6999,0.3024,0.4928,1.9356,0.0053,-0.1862,1.4773
2023,7,7,lon,Corridor_4x4_lag643,1.8502,1.4441,0.7232,12.8291,0.1891,0.2675,1.2266,0.0149,-0.1798,0.9921
2023,7,7,lon,Debiased_Whittle,2.6012,2.0705,1.3010,11.5421,0.1519,0.2043,0.9545,0.0280,-0.2047,1.0111
