year,month,day_num,direction,lag,mean_over_7_pairs,mean_pair_count,pair_1_2,n_pairs_1_2,pair_2_3,n_pairs_2_3,pair_3_4,n_pairs_3_4,pair_4_5,n_pairs_4_5,pair_5_6,n_pairs_5_6,pair_6_7,n_pairs_6_7,pair_7_8,n_pairs_7_8
2024,7,1,lat,-2.1560,19.5447,8290.2857,20.3700,9024,20.9548,6970,18.3817,6652,17.6215,6882,20.3558,8093,20.5104,10102,18.6188,10309.0000
2024,7,1,lat,-1.9360,18.2846,8932.7143,18.9595,9715,19.4997,7498,18.2072,7098,17.0664,7459,18.6654,8767,18.6004,10888,16.9937,11104.0000
2024,7,1,lat,-1.7160,17.1756,9568.5714,17.4415,10403,18.6332,8078,17.5072,7588,16.3484,7927,17.4486,9422,17.3274,11663,15.5232,11899.0000
2024,7,1,lat,-1.4960,16.2237,10215.8571,16.2007,11098,17.3505,8713,16.8472,8058,15.7237,8391,16.6296,10122,16.4053,12435,14.4090,12694.0000
2024,7,1,lat,-1.2760,15.3497,10892.5714,15.0652,11801,15.8613,9360,15.3868,8635,15.1151,8927,16.6103,10814,15.8770,13222,13.5325,13489.0000
2024,7,1,lat,-1.0560,14.5518,11554.1429,13.9791,12496,14.7464,10063,14.3170,9250,14.6925,9420,16.0984,11405,15.2055,13961,12.8238,14284.0000
2024,7,1,lat,-0.8360,13.2504,12251.0000,12.7296,13231,13.2416,10831,13.0618,9890,13.4460,10073,14.9555,11990,13.7647,14664,11.5536,15078.0000
2024,7,1,lat,-0.6160,12.1525,12979.2857,11.5833,13977,12.5319,11657,11.9680,10566,12.3271,10712,13.7643,12671,12.2752,15399,10.6180,15873.0000
2024,7,1,lat,-0.3960,10.8690,13738.7143,10.2704,14667,11.5110,12416,11.2852,11398,11.0473,11498,11.6031,13387,10.7720,16138,9.5944,16667.0000
2024,7,1,lat,-0.1760,9.3111,14544.2857,8.9124,15372,10.2704,13142,10.3114,12329,9.4395,12486,9.4880,14120,8.5627,16900,8.1930,17461.0000
2024,7,1,lat,-0.1320,9.0269,14709.7143,8.6619,15507,10.0200,13296,10.0357,12524,9.1769,12698,9.1295,14266,8.1798,17058,7.9841,17619.0000
2024,7,1,lat,-0.0440,8.3086,15034.1429,8.1742,15780,9.2120,13586,9.3068,12909,8.2014,13087,8.5264,14564,7.4331,17376,7.3063,17937.0000
