year,month,day_num,direction,lag,model,fitted_gamma_t0,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2023,7,1,lat,0.0440,Vecchia_mm20,0.3662,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.1320,Vecchia_mm20,0.5422,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.1760,Vecchia_mm20,0.6109,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.3960,Vecchia_mm20,0.8275,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.6160,Vecchia_mm20,0.9235,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.8360,Vecchia_mm20,0.9661,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,1.0560,Vecchia_mm20,0.9850,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,1.2760,Vecchia_mm20,0.9933,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,1.4960,Vecchia_mm20,0.9970,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,1.7160,Vecchia_mm20,0.9987,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,1.9360,Vecchia_mm20,0.9994,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,2.1560,Vecchia_mm20,0.9997,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.0630,Vecchia_mm20,0.3627,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.1260,Vecchia_mm20,0.4553,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.1800,Vecchia_mm20,0.5240,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.3690,Vecchia_mm20,0.7029,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.5580,Vecchia_mm20,0.8146,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.7470,Vecchia_mm20,0.8843,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,0.9360,Vecchia_mm20,0.9278,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,1.1250,Vecchia_mm20,0.9549,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,1.3140,Vecchia_mm20,0.9719,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,1.5030,Vecchia_mm20,0.9824,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,1.6920,Vecchia_mm20,0.9890,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lon,1.8810,Vecchia_mm20,0.9932,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,9.3117,0.2705,0.4009,2.6712,3.1739
2023,7,1,lat,0.0440,Debiased_Whittle,0.4625,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,0.1320,Debiased_Whittle,0.7205,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,0.1760,Debiased_Whittle,0.7984,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,0.3960,Debiased_Whittle,0.9607,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,0.6160,Debiased_Whittle,0.9923,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,0.8360,Debiased_Whittle,0.9985,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,1.0560,Debiased_Whittle,0.9997,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,1.2760,Debiased_Whittle,0.9999,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,1.4960,Debiased_Whittle,1.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,1.7160,Debiased_Whittle,1.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,1.9360,Debiased_Whittle,1.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lat,2.1560,Debiased_Whittle,1.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lon,0.0630,Debiased_Whittle,0.4784,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
2023,7,1,lon,0.1260,Debiased_Whittle,0.6350,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,5.8904,0.1346,0.1765,1.5206,2.0125
