year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2025,7,1,lat,Vecchia_mm20,0.0440,0.2894,16228.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.3167,16640,14.5919,0.3357,16157,17.3518,0.2633,15806,19.5354,0.2346,15612,18.6540,0.2822,16053,15.4044,0.2449,15891,13.4510,0.2518,16667,11.3957,0.3861,17002.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.1320,0.5020,15645.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.5174,16131,14.5919,0.5707,15602,17.3518,0.4666,15219,19.5354,0.4481,14917,18.6540,0.4945,15430,15.4044,0.4448,15268,13.4510,0.4638,16106,11.3957,0.6099,16492.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.1760,0.5608,15416.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.5720,15918,14.5919,0.6289,15372,17.3518,0.5321,14964,19.5354,0.5166,14650,18.6540,0.5491,15191,15.4044,0.5036,15025,13.4510,0.5244,15908,11.3957,0.6601,16304.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.3960,0.7357,14461.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.7374,14983,14.5919,0.7984,14360,17.3518,0.7181,13902,19.5354,0.6615,13604,18.6540,0.6876,14200,15.4044,0.7234,14045,13.4510,0.7195,15077,11.3957,0.8400,15523.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.6160,0.8229,13680.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8296,14125,14.5919,0.8431,13537,17.3518,0.7559,13106,19.5354,0.7156,12793,18.6540,0.7723,13467,15.4044,0.8581,13295,13.4510,0.8499,14342,11.3957,0.9589,14776.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.8360,0.8714,13005.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8590,13399,14.5919,0.8736,12834,17.3518,0.8008,12491,19.5354,0.7823,12174,18.6540,0.8253,12827,15.4044,0.9211,12604,13.4510,0.8929,13664,11.3957,1.0161,14049.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.0560,0.9145,12367.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.9033,12750,14.5919,0.9540,12246,17.3518,0.8771,11954,19.5354,0.8078,11631,18.6540,0.8584,12159,15.4044,0.9527,11942,13.4510,0.9035,12947,11.3957,1.0590,13313.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.2760,0.9282,11771.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.9366,12154,14.5919,0.9874,11723,17.3518,0.9107,11440,19.5354,0.8295,11163,18.6540,0.9049,11558,15.4044,0.9208,11345,13.4510,0.8793,12224,11.3957,1.0562,12567.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.4960,0.9368,11121.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.9646,11568,14.5919,1.0032,11126,17.3518,0.9650,10754,19.5354,0.8976,10550,18.6540,0.8926,10891,15.4044,0.9118,10725,13.4510,0.8607,11529,11.3957,0.9989,11825.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.7160,0.9600,10409.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,1.0061,10829,14.5919,1.0346,10376,17.3518,1.0212,10006,19.5354,0.9258,9848,18.6540,0.9112,10210,15.4044,0.9081,10070,13.4510,0.8804,10852,11.3957,0.9929,11082.0000,7.7096
