year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2022,7,1,lat,Vecchia_mm20,0.0440,3.3502,17779.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,2.4975,17874,4.4311,3.5703,17898,5.6410,4.2371,17846,6.6334,4.2303,17821,7.7717,3.7927,17820,7.5407,3.4909,17838,6.5384,2.8107,17708,6.2094,2.1717,17427.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.1320,4.5511,17437.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.1884,17552,4.4311,4.5437,17578,5.6410,5.6703,17517,6.6334,5.9593,17496,7.7717,5.4440,17491,7.5407,4.7051,17508,6.5384,3.9767,17352,6.2094,2.9210,17007.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.1760,4.7619,17273.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.3311,17390,4.4311,4.7805,17418,5.6410,5.7508,17354,6.6334,6.2069,17334,7.7717,5.6610,17327,7.5407,4.9417,17349,6.5384,4.2858,17189,6.2094,3.1373,16828.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.3960,5.3831,16473.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.6381,16588,4.4311,5.1009,16619,5.6410,6.0421,16555,6.6334,6.8788,16534,7.7717,6.3223,16521,7.5407,5.7433,16553,6.5384,5.3490,16398,6.2094,3.9906,16017.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.6160,5.6941,15680.3750,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8941,15790,4.4311,5.2906,15819,5.6410,6.1981,15769,6.6334,7.0769,15744,7.7717,6.6087,15729,7.5407,6.0553,15756,6.5384,5.7745,15611,6.2094,4.6542,15225.0000,5.2373
2022,7,1,lat,Vecchia_mm20,0.8360,5.8786,14890.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.0277,14990,4.4311,5.4690,15020,5.6410,6.2495,14980,6.6334,7.3933,14952,7.7717,6.8542,14948,7.5407,6.2809,14964,6.5384,5.9516,14821,6.2094,4.8025,14450.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.0560,5.9795,14096.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1406,14191,4.4311,5.5156,14221,5.6410,6.2802,14181,6.6334,7.3281,14154,7.7717,7.0045,14151,7.5407,6.3985,14172,6.5384,6.1785,14031,6.2094,4.9902,13672.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.2760,5.9386,13304.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2355,13396,4.4311,5.6197,13422,5.6410,6.3834,13381,6.6334,7.1388,13354,7.7717,6.9431,13359,7.5407,6.3498,13388,6.5384,5.9781,13240,6.2094,4.8604,12892.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.4960,5.9296,12517.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.3441,12606,4.4311,5.6700,12625,5.6410,6.5193,12583,6.6334,7.1975,12559,7.7717,6.7643,12569,7.5407,6.2680,12593,6.5384,5.8654,12459,6.2094,4.8077,12146.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.7160,5.9273,11734.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2781,11817,4.4311,5.7235,11838,5.6410,6.3455,11792,6.6334,7.2215,11777,7.7717,6.9119,11782,7.5407,6.3489,11807,6.5384,5.8854,11672,6.2094,4.7039,11388.0000,5.2373
2022,7,1,lat,Vecchia_mm20,1.9360,6.0600,10950.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.3539,11029,4.4311,5.8124,11048,5.6410,6.5536,11003,6.6334,7.5555,10990,7.7717,7.1073,10992,7.5407,6.4268,11017,6.5384,5.8844,10886,6.2094,4.7862,10636.0000,5.2373
2022,7,1,lat,Vecchia_mm20,2.1560,6.0505,10172.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2907,10242,4.4311,5.6079,10259,5.6410,6.5547,10223,6.6334,7.7044,10202,7.7717,7.2781,10205,7.5407,6.3767,10234,6.5384,5.8567,10114,6.2094,4.7350,9898.0000,5.2373
