year,month,day_num,model,n_anchor_obs,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
2023,7,1,Vecchia_mm20,1513,246.5284,245.9222,245.7977,245.4680,245.6806,246.5160,247.0973,248.7899,0.7634,0.2253
2023,7,1,Debiased_Whittle,1513,246.4062,245.7754,245.6270,245.3061,245.5300,246.3913,246.9891,248.7039,0.8680,0.2587
2023,7,1,Corridor_4x4_lag643,1513,246.4491,245.8341,245.7037,245.3754,245.5971,246.4400,247.0305,248.7308,0.8260,0.2448
2023,7,2,Vecchia_mm20,1504,252.2171,251.1428,251.1237,250.7654,251.0435,251.8320,253.0965,254.6547,0.8982,-0.0701
2023,7,2,Debiased_Whittle,1504,252.1497,251.0651,251.0128,250.6538,250.9363,251.7531,253.0312,254.6120,0.9084,-0.1033
2023,7,2,Corridor_4x4_lag643,1504,252.1620,251.0806,251.0365,250.6781,250.9593,251.7677,253.0420,254.6174,0.9045,-0.0967
2023,7,3,Vecchia_mm20,1510,251.6011,251.8144,251.5308,251.1369,250.9738,250.7669,251.4627,252.7910,0.2522,-0.2549
2023,7,3,Debiased_Whittle,1510,251.3792,251.5801,251.2759,250.8788,250.6853,250.4582,251.1327,252.5274,0.4329,-0.3258
2023,7,3,Corridor_4x4_lag643,1510,251.4171,251.6208,251.3292,250.9239,250.7444,250.5298,251.2159,252.5726,0.4013,-0.3179
2023,7,4,Vecchia_mm20,1457,256.3130,255.7440,255.1306,255.0970,255.7852,256.0160,256.2435,257.7662,0.7014,0.0422
2023,7,4,Debiased_Whittle,1457,256.3008,255.7424,255.1085,255.0902,255.7736,255.9892,256.2013,257.7327,0.6553,0.0678
2023,7,4,Corridor_4x4_lag643,1457,256.3064,255.7445,255.1162,255.0928,255.7751,255.9989,256.2150,257.7410,0.6639,0.0639
2023,7,5,Vecchia_mm20,1465,254.3712,254.1116,253.3367,252.6251,252.1811,251.6566,252.9646,254.5297,1.6505,0.1585
2023,7,5,Debiased_Whittle,1465,254.1959,253.8877,253.0803,252.3175,251.8878,251.3450,252.6968,254.2771,1.7379,0.1569
2023,7,5,Corridor_4x4_lag643,1465,254.1884,253.8830,253.0590,252.2900,251.8600,251.3285,252.6902,254.2667,1.7379,0.1571
2023,7,6,Vecchia_mm20,1452,250.2624,250.4532,249.3737,249.3093,248.9002,248.8498,249.7509,251.5627,1.0969,0.1325
2023,7,6,Debiased_Whittle,1452,250.0901,250.2711,249.1463,249.0873,248.7005,248.6578,249.5199,251.3067,1.1246,0.2201
2023,7,6,Corridor_4x4_lag643,1452,250.1412,250.3269,249.2251,249.1681,248.7710,248.7205,249.5971,251.3899,1.1144,0.1893
2023,7,7,Vecchia_mm20,1415,253.3948,252.6820,252.5996,252.4447,252.5466,252.5530,252.9473,253.6889,0.6383,-0.0676
2023,7,7,Debiased_Whittle,1415,253.4027,252.6921,252.6334,252.4671,252.5575,252.5621,252.9626,253.6503,0.6314,-0.1340
2023,7,7,Corridor_4x4_lag643,1415,253.4168,252.7182,252.6484,252.4845,252.5733,252.5713,252.9622,253.6610,0.6263,-0.1183
2023,7,8,Vecchia_mm20,1511,248.8957,248.4247,247.5191,247.2550,247.6530,247.4095,247.9038,249.4941,1.9035,0.0366
2023,7,8,Debiased_Whittle,1511,248.6634,248.1921,247.3199,247.1150,247.5893,247.3786,247.9076,249.5112,1.9061,0.0842
2023,7,8,Corridor_4x4_lag643,1511,248.7029,248.2350,247.3580,247.1408,247.5979,247.3864,247.9112,249.5154,1.9045,0.0740
2023,7,9,Vecchia_mm20,1334,252.5896,252.2099,252.4810,252.3732,251.8698,252.7562,253.6298,255.4797,1.7250,-0.0175
2023,7,9,Debiased_Whittle,1334,252.4551,252.0634,252.3371,252.1771,251.6745,252.5153,253.4719,255.4260,1.7513,-0.0595
2023,7,9,Corridor_4x4_lag643,1334,252.4925,252.1103,252.3826,252.2476,251.7462,252.6135,253.5346,255.4423,1.7398,-0.0467
2023,7,10,Vecchia_mm20,1329,251.2432,251.1594,250.7500,250.0157,250.1618,250.3000,250.9141,252.4481,2.4738,-0.0375
2023,7,10,Debiased_Whittle,1329,251.1846,251.1489,250.6839,249.9161,250.0469,250.1588,250.8286,252.4291,2.3500,-0.1719
2023,7,10,Corridor_4x4_lag643,1329,251.2446,251.1680,250.7169,249.9655,250.1142,250.2499,250.8984,252.4580,2.3939,-0.1287
2023,7,11,Vecchia_mm20,1440,252.0192,251.6958,250.7642,249.7115,249.2011,249.0899,249.8079,251.3396,0.8026,-0.1020
2023,7,11,Debiased_Whittle,1440,252.0057,251.7226,250.8097,249.7033,249.1714,249.0435,249.7248,251.2804,0.8802,-0.1520
2023,7,11,Corridor_4x4_lag643,1440,252.0117,251.7192,250.7969,249.7022,249.1787,249.0534,249.7430,251.2864,0.8695,-0.1459
2023,7,12,Vecchia_mm20,1465,247.2375,247.0893,247.4258,248.3660,248.4523,248.6510,249.2965,251.2591,1.8357,0.3113
2023,7,12,Debiased_Whittle,1465,247.0256,246.9149,247.2823,248.2790,248.3617,248.6150,249.2808,251.2330,1.8682,0.3001
2023,7,12,Corridor_4x4_lag643,1465,247.0658,246.9472,247.3121,248.2966,248.3934,248.6211,249.2773,251.2315,1.8600,0.3062
2023,7,13,Vecchia_mm20,1407,247.1964,247.3424,247.3267,247.5314,247.3362,247.1454,247.9995,248.8908,1.1037,-0.3850
2023,7,13,Debiased_Whittle,1407,247.1398,247.2538,247.2431,247.4578,247.2919,247.1324,248.0078,248.9561,1.3617,-0.3863
2023,7,13,Corridor_4x4_lag643,1407,247.1582,247.2800,247.2671,247.4799,247.3021,247.1392,248.0135,248.9466,1.2774,-0.3898
2023,7,14,Vecchia_mm20,1350,248.1881,248.1237,247.9988,248.0199,248.0755,247.8134,248.2135,249.9945,0.3888,0.3973
2023,7,14,Debiased_Whittle,1350,248.0165,247.8803,247.7850,247.7624,247.8264,247.4839,247.9579,249.7490,0.3396,0.4490
2023,7,14,Corridor_4x4_lag643,1350,248.0349,247.9195,247.8019,247.7823,247.8438,247.5293,247.9817,249.7714,0.3403,0.4456
2023,7,15,Vecchia_mm20,1349,249.3373,249.1798,248.3557,248.4959,248.5396,249.1297,249.6273,250.8647,2.0028,0.0196
2023,7,15,Debiased_Whittle,1349,249.4077,249.2613,248.4242,248.5658,248.6150,249.1935,249.6967,250.9395,1.9564,0.0161
2023,7,15,Corridor_4x4_lag643,1349,249.4278,249.2791,248.4498,248.5994,248.6555,249.2132,249.7079,250.9568,1.9437,0.0095
2023,7,16,Vecchia_mm20,1511,250.4369,250.1696,249.5087,249.2450,249.1334,249.5656,249.5206,251.3956,1.9740,0.0018
2023,7,16,Debiased_Whittle,1511,250.2918,250.0031,249.3366,249.0724,248.9709,249.4265,249.4099,251.3262,1.9367,-0.0064
2023,7,16,Corridor_4x4_lag643,1511,250.3188,250.0397,249.3775,249.1130,249.0081,249.4563,249.4304,251.3324,1.9436,-0.0040
2023,7,17,Vecchia_mm20,1510,249.8295,249.5974,248.3735,248.0265,248.8882,249.3018,249.4328,251.0109,3.4050,-0.1829
2023,7,17,Debiased_Whittle,1510,249.6672,249.4258,248.2103,247.8525,248.7373,249.1853,249.3423,250.9438,3.5807,-0.2525
2023,7,17,Corridor_4x4_lag643,1510,249.6844,249.4460,248.2285,247.8749,248.7561,249.1963,249.3515,250.9542,3.5590,-0.2448
2023,7,18,Vecchia_mm20,1524,256.8822,253.2418,250.3570,248.1154,246.0384,244.6524,246.8977,250.0091,1.6683,-0.3737
2023,7,18,Debiased_Whittle,1524,256.9538,253.2273,250.2488,247.9451,245.7801,244.3109,246.5034,249.7196,1.5662,-0.4025
2023,7,18,Corridor_4x4_lag643,1524,256.9340,253.2211,250.2618,247.9701,245.8234,244.3667,246.5701,249.7608,1.5887,-0.3997
2023,7,19,Vecchia_mm20,1522,247.7500,247.9324,247.6821,247.7036,247.4995,248.5733,249.2644,250.6840,1.6414,-0.2189
2023,7,19,Debiased_Whittle,1522,247.7188,247.9047,247.6824,247.7093,247.5112,248.5775,249.2817,250.6871,1.5963,-0.2118
2023,7,19,Corridor_4x4_lag643,1522,247.7316,247.9229,247.6849,247.7094,247.5094,248.5809,249.2768,250.6889,1.5986,-0.2137
2023,7,20,Vecchia_mm20,1513,250.6161,250.2249,249.8552,249.4937,249.4772,250.0414,250.4655,251.2365,1.6165,-0.4469
2023,7,20,Debiased_Whittle,1513,250.6876,250.3198,249.9187,249.5394,249.5390,250.0842,250.4869,251.2606,1.7131,-0.4334
2023,7,20,Corridor_4x4_lag643,1513,250.6984,250.3086,249.9229,249.5503,249.5346,250.0895,250.5013,251.2690,1.6933,-0.4403
2023,7,21,Vecchia_mm20,1506,249.3568,249.0867,248.9464,249.0911,249.2510,249.4678,249.9333,251.3636,1.9496,-0.6300
2023,7,21,Debiased_Whittle,1506,249.3727,249.0865,248.9248,249.0394,249.1784,249.3597,249.8349,251.2455,2.1444,-0.7196
2023,7,21,Corridor_4x4_lag643,1506,249.3703,249.0873,248.9346,249.0590,249.2022,249.4000,249.8576,251.2720,2.0927,-0.7058
