year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2025,7,1,lat,Vecchia_mm20,0.0440,4.1817,16228.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,4.6211,16640,14.5919,5.8258,16157,17.3518,5.1434,15806,19.5354,4.3759,15612,18.6540,4.3474,16053,15.4044,3.2938,15891,13.4510,2.8699,16667,11.3957,2.9765,17002.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.1320,7.3143,15645.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,7.5503,16131,14.5919,9.9022,15602,17.3518,9.1143,15219,19.5354,8.3594,14917,18.6540,7.6181,15430,15.4044,5.9824,15268,13.4510,5.2858,16106,11.3957,4.7020,16492.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.1760,8.1984,15416.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,8.3462,15918,14.5919,10.9129,15372,17.3518,10.3947,14964,19.5354,9.6363,14650,18.6540,8.4583,15191,15.4044,6.7741,15025,13.4510,5.9761,15908,11.3957,5.0888,16304.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.3960,10.7474,14461.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,10.7596,14983,14.5919,13.8538,14360,17.3518,14.0280,13902,19.5354,12.3405,13604,18.6540,10.5919,14200,15.4044,9.7301,14045,13.4510,8.1986,15077,11.3957,6.4763,15523.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.6160,11.9211,13680.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.1060,14125,14.5919,14.6289,13537,17.3518,14.7676,13106,19.5354,13.3485,12793,18.6540,11.8972,13467,15.4044,11.5420,13295,13.4510,9.6858,14342,11.3957,7.3926,14776.0000,7.7096
2025,7,1,lat,Vecchia_mm20,0.8360,12.6299,13005.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,12.5337,13399,14.5919,15.1581,12834,17.3518,15.6431,12491,19.5354,14.5922,12174,18.6540,12.7135,12827,15.4044,12.3892,12604,13.4510,10.1757,13664,11.3957,7.8335,14049.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.0560,13.3048,12367.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,13.1815,12750,14.5919,16.5541,12246,17.3518,17.1349,11954,19.5354,15.0695,11631,18.6540,13.2230,12159,15.4044,12.8153,11942,13.4510,10.2955,12947,11.3957,8.1645,13313.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.2760,13.5692,11771.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,13.6672,12154,14.5919,17.1330,11723,17.3518,17.7911,11440,19.5354,15.4742,11163,18.6540,13.9391,11558,15.4044,12.3860,11345,13.4510,10.0199,12224,11.3957,8.1432,12567.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.4960,13.8253,11121.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,14.0748,11568,14.5919,17.4069,11126,17.3518,18.8524,10754,19.5354,16.7435,10550,18.6540,13.7501,10891,15.4044,12.2651,10725,13.4510,9.8085,11529,11.3957,7.7008,11825.0000,7.7096
2025,7,1,lat,Vecchia_mm20,1.7160,14.2240,10409.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1424,14.6811,10829,14.5919,17.9526,10376,17.3518,19.9500,10006,19.5354,17.2697,9848,18.6540,14.0366,10210,15.4044,12.2144,10070,13.4510,10.0330,10852,11.3957,7.6545,11082.0000,7.7096
