year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,1,lat,Corridor_4x4_lag643,0.0634,0.0569,-0.0569,hour_dummy_plus_lat_lon_ols,True,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,Debiased_Whittle,0.0570,0.0528,-0.0528,hour_dummy_plus_lat_lon_ols,True,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,Vecchia_mm20,0.0488,0.0450,-0.0450,hour_dummy_plus_lat_lon_ols,True,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lon,Corridor_4x4_lag643,0.0803,0.0726,-0.0726,hour_dummy_plus_lat_lon_ols,True,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lon,Debiased_Whittle,0.0635,0.0539,-0.0517,hour_dummy_plus_lat_lon_ols,True,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lon,Vecchia_mm20,0.0666,0.0589,-0.0589,hour_dummy_plus_lat_lon_ols,True,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,2,lat,Corridor_4x4_lag643,0.1218,0.1101,-0.1101,hour_dummy_plus_lat_lon_ols,True,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,2,lat,Debiased_Whittle,0.1494,0.1358,-0.1358,hour_dummy_plus_lat_lon_ols,True,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lat,Vecchia_mm20,0.0785,0.0698,-0.0521,hour_dummy_plus_lat_lon_ols,True,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,2,lon,Corridor_4x4_lag643,0.1114,0.0920,-0.0874,hour_dummy_plus_lat_lon_ols,True,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,2,lon,Debiased_Whittle,0.1408,0.1171,-0.1124,hour_dummy_plus_lat_lon_ols,True,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lon,Vecchia_mm20,0.0479,0.0422,-0.0150,hour_dummy_plus_lat_lon_ols,True,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,3,lat,Corridor_4x4_lag643,0.1070,0.0920,-0.0834,hour_dummy_plus_lat_lon_ols,True,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,3,lat,Debiased_Whittle,0.1333,0.1131,-0.1045,hour_dummy_plus_lat_lon_ols,True,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lat,Vecchia_mm20,0.0466,0.0421,-0.0215,hour_dummy_plus_lat_lon_ols,True,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,3,lon,Corridor_4x4_lag643,0.1902,0.1795,-0.1795,hour_dummy_plus_lat_lon_ols,True,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,3,lon,Debiased_Whittle,0.2313,0.2212,-0.2212,hour_dummy_plus_lat_lon_ols,True,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lon,Vecchia_mm20,0.0937,0.0829,-0.0692,hour_dummy_plus_lat_lon_ols,True,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,4,lat,Corridor_4x4_lag643,0.1324,0.1221,-0.1221,hour_dummy_plus_lat_lon_ols,True,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,4,lat,Debiased_Whittle,0.1397,0.1305,-0.1305,hour_dummy_plus_lat_lon_ols,True,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lat,Vecchia_mm20,0.0851,0.0763,-0.0676,hour_dummy_plus_lat_lon_ols,True,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,4,lon,Corridor_4x4_lag643,0.1701,0.1620,-0.1620,hour_dummy_plus_lat_lon_ols,True,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,4,lon,Debiased_Whittle,0.1823,0.1762,-0.1762,hour_dummy_plus_lat_lon_ols,True,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lon,Vecchia_mm20,0.1106,0.0988,-0.0873,hour_dummy_plus_lat_lon_ols,True,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,5,lat,Corridor_4x4_lag643,0.0736,0.0665,-0.0665,hour_dummy_plus_lat_lon_ols,True,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,5,lat,Debiased_Whittle,0.1097,0.0943,-0.0943,hour_dummy_plus_lat_lon_ols,True,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lat,Vecchia_mm20,0.0341,0.0310,-0.0157,hour_dummy_plus_lat_lon_ols,True,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,5,lon,Corridor_4x4_lag643,0.1467,0.1355,-0.1355,hour_dummy_plus_lat_lon_ols,True,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,5,lon,Debiased_Whittle,0.1842,0.1700,-0.1700,hour_dummy_plus_lat_lon_ols,True,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lon,Vecchia_mm20,0.0737,0.0682,-0.0539,hour_dummy_plus_lat_lon_ols,True,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,6,lat,Corridor_4x4_lag643,0.1176,0.1117,-0.1117,hour_dummy_plus_lat_lon_ols,True,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,6,lat,Debiased_Whittle,0.1688,0.1544,-0.1544,hour_dummy_plus_lat_lon_ols,True,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lat,Vecchia_mm20,0.0610,0.0534,-0.0176,hour_dummy_plus_lat_lon_ols,True,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,6,lon,Corridor_4x4_lag643,0.2217,0.2087,-0.2087,hour_dummy_plus_lat_lon_ols,True,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,6,lon,Debiased_Whittle,0.2892,0.2774,-0.2774,hour_dummy_plus_lat_lon_ols,True,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lon,Vecchia_mm20,0.0898,0.0834,-0.0479,hour_dummy_plus_lat_lon_ols,True,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,7,lat,Corridor_4x4_lag643,0.1411,0.1253,-0.1253,hour_dummy_plus_lat_lon_ols,True,9.8653,0.2142,0.2655,1.1956,1.1792
2022,7,7,lat,Debiased_Whittle,0.1455,0.1286,-0.1286,hour_dummy_plus_lat_lon_ols,True,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lat,Vecchia_mm20,0.0822,0.0720,-0.0631,hour_dummy_plus_lat_lon_ols,True,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,7,lon,Corridor_4x4_lag643,0.1762,0.1542,-0.1542,hour_dummy_plus_lat_lon_ols,True,9.8653,0.2142,0.2655,1.1956,1.1792
2022,7,7,lon,Debiased_Whittle,0.1870,0.1636,-0.1636,hour_dummy_plus_lat_lon_ols,True,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lon,Vecchia_mm20,0.0556,0.0481,-0.0312,hour_dummy_plus_lat_lon_ols,True,12.4547,0.3713,0.5735,2.1040,1.9859
