year,month,day_num,direction,lag,daily_mean,mean_pair_count,mean_model,normalized,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2025,7,1,lat,0.0440,0.2906,16228.5000,hour_dummy_plus_lat_lon_ols,True,0.3165,16640,14.5993,0.3316,16157,17.5665,0.2646,15806,19.4356,0.2372,15612,18.4449,0.2838,16053,15.3195,0.2478,15891,13.2945,0.2555,16667,11.2308,0.3875,17002.0000,7.6812
2025,7,1,lat,0.1320,0.5042,15645.6250,hour_dummy_plus_lat_lon_ols,True,0.5172,16131,14.5993,0.5637,15602,17.5665,0.4690,15219,19.4356,0.4532,14917,18.4449,0.4973,15430,15.3195,0.4500,15268,13.2945,0.4707,16106,11.2308,0.6122,16492.0000,7.6812
2025,7,1,lat,0.1760,0.5634,15416.5000,hour_dummy_plus_lat_lon_ols,True,0.5717,15918,14.5993,0.6213,15372,17.5665,0.5349,14964,19.4356,0.5225,14650,18.4449,0.5522,15191,15.3195,0.5096,15025,13.2945,0.5321,15908,11.2308,0.6625,16304.0000,7.6812
2025,7,1,lat,0.3960,0.7393,14461.7500,hour_dummy_plus_lat_lon_ols,True,0.7371,14983,14.5993,0.7888,14360,17.5665,0.7220,13902,19.4356,0.6694,13604,18.4449,0.6918,14200,15.3195,0.7322,14045,13.2945,0.7300,15077,11.2308,0.8430,15523.0000,7.6812
2025,7,1,lat,0.6160,0.8271,13680.1250,hour_dummy_plus_lat_lon_ols,True,0.8294,14125,14.5993,0.8329,13537,17.5665,0.7599,13106,19.4356,0.7242,12793,18.4449,0.7774,13467,15.3195,0.8687,13295,13.2945,0.8620,14342,11.2308,0.9620,14776.0000,7.6812
2025,7,1,lat,0.8360,0.8758,13005.2500,hour_dummy_plus_lat_lon_ols,True,0.8587,13399,14.5993,0.8629,12834,17.5665,0.8049,12491,19.4356,0.7917,12174,18.4449,0.8311,12827,15.3195,0.9325,12604,13.2945,0.9052,13664,11.2308,1.0192,14049.0000,7.6812
2025,7,1,lat,1.0560,0.9188,12367.7500,hour_dummy_plus_lat_lon_ols,True,0.9029,12750,14.5993,0.9422,12246,17.5665,0.8815,11954,19.4356,0.8179,11631,18.4449,0.8648,12159,15.3195,0.9642,11942,13.2945,0.9153,12947,11.2308,1.0615,13313.0000,7.6812
2025,7,1,lat,1.2760,0.9323,11771.7500,hour_dummy_plus_lat_lon_ols,True,0.9360,12154,14.5993,0.9752,11723,17.5665,0.9155,11440,19.4356,0.8400,11163,18.4449,0.9118,11558,15.3195,0.9315,11345,13.2945,0.8903,12224,11.2308,1.0585,12567.0000,7.6812
2025,7,1,lat,1.4960,0.9407,11121.0000,hour_dummy_plus_lat_lon_ols,True,0.9637,11568,14.5993,0.9905,11126,17.5665,0.9701,10754,19.4356,0.9091,10550,18.4449,0.9003,10891,15.3195,0.9224,10725,13.2945,0.8703,11529,11.2308,0.9991,11825.0000,7.6812
2025,7,1,lat,1.7160,0.9637,10409.1250,hour_dummy_plus_lat_lon_ols,True,1.0053,10829,14.5993,1.0213,10376,17.5665,1.0264,10006,19.4356,0.9378,9848,18.4449,0.9197,10210,15.3195,0.9185,10070,13.2945,0.8893,10852,11.2308,0.9911,11082.0000,7.6812
2025,7,1,lat,1.9360,1.0011,9662.2500,hour_dummy_plus_lat_lon_ols,True,1.0679,10046,14.5993,1.0378,9588,17.5665,1.0656,9240,19.4356,0.9609,9091,18.4449,0.9882,9521,15.3195,0.9888,9389,13.2945,0.9005,10100,11.2308,0.9993,10323.0000,7.6812
2025,7,1,lat,2.1560,1.0462,8900.1250,hour_dummy_plus_lat_lon_ols,True,1.1140,9271,14.5993,1.0262,8813,17.5665,1.0937,8460,19.4356,1.0279,8329,18.4449,1.0400,8758,15.3195,1.0332,8658,13.2945,0.9948,9349,11.2308,1.0401,9563.0000,7.6812
2025,7,1,lon,0.0630,0.3103,16231.7500,hour_dummy_plus_lat_lon_ols,True,0.3283,16676,14.5993,0.3263,16166,17.5665,0.2722,15847,19.4356,0.2467,15645,18.4449,0.3107,16058,15.3195,0.2696,15887,13.2945,0.3091,16619,11.2308,0.4195,16956.0000,7.6812
2025,7,1,lon,0.1260,0.4299,15972.7500,hour_dummy_plus_lat_lon_ols,True,0.4512,16468,14.5993,0.4559,15931,17.5665,0.3923,15589,19.4356,0.3716,15339,18.4449,0.4286,15779,15.3195,0.3892,15599,13.2945,0.4182,16358,11.2308,0.5320,16719.0000,7.6812
2025,7,1,lon,0.1800,0.5003,15779.6250,hour_dummy_plus_lat_lon_ols,True,0.5064,16295,14.5993,0.5367,15740,17.5665,0.4694,15382,19.4356,0.4557,15085,18.4449,0.5059,15568,15.3195,0.4536,15388,13.2945,0.4820,16205,11.2308,0.5930,16574.0000,7.6812
2025,7,1,lon,0.3690,0.6249,15287.6250,hour_dummy_plus_lat_lon_ols,True,0.6299,15871,14.5993,0.6710,15289,17.5665,0.5898,14877,19.4356,0.5909,14506,18.4449,0.6323,14988,15.3195,0.5754,14811,13.2945,0.6101,15767,11.2308,0.7000,16192.0000,7.6812
2025,7,1,lon,0.5580,0.7053,14849.2500,hour_dummy_plus_lat_lon_ols,True,0.7128,15461,14.5993,0.7416,14846,17.5665,0.6570,14450,19.4356,0.6718,13998,18.4449,0.7213,14493,15.3195,0.6657,14318,13.2945,0.7066,15365,11.2308,0.7654,15863.0000,7.6812
2025,7,1,lon,0.7470,0.7693,14452.5000,hour_dummy_plus_lat_lon_ols,True,0.7672,15050,14.5993,0.7734,14452,17.5665,0.7235,14064,19.4356,0.7421,13546,18.4449,0.7932,14041,15.3195,0.7468,13915,13.2945,0.7971,15018,11.2308,0.8114,15534.0000,7.6812
2025,7,1,lon,0.9360,0.8131,14092.6250,hour_dummy_plus_lat_lon_ols,True,0.8112,14661,14.5993,0.8164,14094,17.5665,0.7616,13694,19.4356,0.8012,13188,18.4449,0.8381,13666,15.3195,0.7944,13563,13.2945,0.8565,14680,11.2308,0.8254,15195.0000,7.6812
2025,7,1,lon,1.1250,0.8430,13758.0000,hour_dummy_plus_lat_lon_ols,True,0.8365,14307,14.5993,0.8204,13737,17.5665,0.7890,13345,19.4356,0.8522,12912,18.4449,0.8615,13321,15.3195,0.8360,13196,13.2945,0.9001,14369,11.2308,0.8480,14877.0000,7.6812
2025,7,1,lon,1.3140,0.8644,13429.7500,hour_dummy_plus_lat_lon_ols,True,0.8524,13954,14.5993,0.8142,13400,17.5665,0.8022,13004,19.4356,0.8841,12682,18.4449,0.8850,12992,15.3195,0.8703,12831,13.2945,0.9337,14032,11.2308,0.8732,14543.0000,7.6812
