year,month,day_num,direction,lag,model,fitted_gamma_t0,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2025,7,1,lat,0.0440,Corridor_4x4_lag643,0.3269,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.1320,Corridor_4x4_lag643,0.5909,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.1760,Corridor_4x4_lag643,0.6810,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.3960,Corridor_4x4_lag643,0.9081,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.6160,Corridor_4x4_lag643,0.9735,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.8360,Corridor_4x4_lag643,0.9924,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.0560,Corridor_4x4_lag643,0.9978,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.2760,Corridor_4x4_lag643,0.9994,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.4960,Corridor_4x4_lag643,0.9998,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.7160,Corridor_4x4_lag643,0.9999,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.9360,Corridor_4x4_lag643,1.0000,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,2.1560,Corridor_4x4_lag643,1.0000,hour_dummy_plus_lat_lon_ols,True,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.0440,Debiased_Whittle,0.3874,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.1320,Debiased_Whittle,0.6951,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.1760,Debiased_Whittle,0.7849,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.3960,Debiased_Whittle,0.9624,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.6160,Debiased_Whittle,0.9934,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.8360,Debiased_Whittle,0.9989,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.0560,Debiased_Whittle,0.9998,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.2760,Debiased_Whittle,1.0000,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.4960,Debiased_Whittle,1.0000,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.7160,Debiased_Whittle,1.0000,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.9360,Debiased_Whittle,1.0000,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,2.1560,Debiased_Whittle,1.0000,hour_dummy_plus_lat_lon_ols,True,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.0440,Vecchia_mm20,0.2939,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lat,0.1320,Vecchia_mm20,0.4801,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lat,0.1760,Vecchia_mm20,0.5538,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lat,0.3960,Vecchia_mm20,0.7924,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lat,0.6160,Vecchia_mm20,0.9034,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lat,0.8360,Vecchia_mm20,0.9550,hour_dummy_plus_lat_lon_ols,True,13.4357,0.2876,0.3948,1.4318,2.8940
