smooth,year,month,day_num,date_str,source_priority,source_file,status,error,resolution_label,variant,lag0_block_count,lag1_block_count,lag2_block_count,n_clusters
0.3,2024,7,1,20240701,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240701_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,1,20240701,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240701_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.3,2024,7,2,20240702,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240702_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,2,20240702,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240702_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 29.56 MiB is free. Including non-PyTorch memory, this process has 39.46 GiB memory in use. Of the allocated memory 38.63 GiB is allocated by PyTorch, and 266.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,3,20240703,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240703_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,3,20240703,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240703_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 19.56 MiB is free. Including non-PyTorch memory, this process has 39.47 GiB memory in use. Of the allocated memory 38.37 GiB is allocated by PyTorch, and 545.02 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,4,20240704,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240704_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,4,20240704,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240704_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 25.56 MiB is free. Including non-PyTorch memory, this process has 39.46 GiB memory in use. Of the allocated memory 38.44 GiB is allocated by PyTorch, and 464.35 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,5,20240705,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240705_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,5,20240705,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240705_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 35.56 MiB is free. Including non-PyTorch memory, this process has 39.45 GiB memory in use. Of the allocated memory 38.48 GiB is allocated by PyTorch, and 417.23 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,6,20240706,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240706_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,6,20240706,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240706_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 43.56 MiB is free. Including non-PyTorch memory, this process has 39.44 GiB memory in use. Of the allocated memory 38.40 GiB is allocated by PyTorch, and 483.57 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,7,20240707,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240707_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,7,20240707,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240707_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 3.56 MiB is free. Including non-PyTorch memory, this process has 39.48 GiB memory in use. Of the allocated memory 38.49 GiB is allocated by PyTorch, and 434.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,8,20240708,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240708_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,8,20240708,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240708_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 39.56 MiB is free. Including non-PyTorch memory, this process has 39.45 GiB memory in use. Of the allocated memory 38.42 GiB is allocated by PyTorch, and 467.25 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,9,20240709,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240709_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,9,20240709,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240709_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 50.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 25.56 MiB is free. Including non-PyTorch memory, this process has 39.46 GiB memory in use. Of the allocated memory 38.59 GiB is allocated by PyTorch, and 309.53 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.3,2024,7,10,20240710,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_x1_refit_smooth0p3_2024_july_days02_10_052926/smooth_0p3/2024_07/daily_csv/20240710_st_fits.csv,missing_file,file not found,,,,,,
0.3,2024,7,10,20240710,1,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p3/2024_07/daily_csv/20240710_st_fits.csv,error,"OutOfMemoryError('CUDA out of memory. Tried to allocate 32.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 1.56 MiB is free. Including non-PyTorch memory, this process has 39.48 GiB memory in use. Of the allocated memory 38.03 GiB is allocated by PyTorch, and 911.36 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",x1,nugget_free,,,,
0.5,2024,7,1,20240701,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240701_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,2,20240702,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240702_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,3,20240703,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240703_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,4,20240704,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240704_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,5,20240705,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240705_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,6,20240706,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240706_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,7,20240707,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240707_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,8,20240708,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240708_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,9,20240709,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240709_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
0.5,2024,7,10,20240710,0,/Users/joonwonlee/Documents/GEMS_TCO-1/outputs/day/real_data/implied_spatial_spectral_corridor_4x4_lag643_lat-3to7_lon121to131_052126/smooth_0p5/2024_07/daily_csv/20240710_st_fits.csv,ok,,x1,nugget_free,6.0,4.0,3.0,1160.0
