year,month,day_num,direction,model,smooth,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget,resolution_label,variant
2024,7,1,lat,nu=0.3 x1 nugget_free,0.3000,1.0553,0.9111,-0.8027,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,nu=0.5 x1 nugget_free,0.5000,1.6101,1.3155,0.6622,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lon,nu=0.3 x1 nugget_free,0.3000,1.1410,1.0106,0.0264,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lon,nu=0.5 x1 nugget_free,0.5000,2.3956,1.8344,1.2699,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,2,lat,nu=0.5 x1 nugget_free,0.5000,1.1601,1.0153,0.2349,hour_dummy_plus_lat_lon_ols,False,14.7092,0.1797,0.2215,1.5233,1.6080,x1,nugget_free
2024,7,2,lon,nu=0.5 x1 nugget_free,0.5000,1.3023,1.1048,-0.5695,hour_dummy_plus_lat_lon_ols,False,14.7092,0.1797,0.2215,1.5233,1.6080,x1,nugget_free
2024,7,3,lat,nu=0.5 x1 nugget_free,0.5000,1.9666,1.5383,0.8730,hour_dummy_plus_lat_lon_ols,False,12.9001,0.1617,0.1898,1.3173,1.4625,x1,nugget_free
2024,7,3,lon,nu=0.5 x1 nugget_free,0.5000,1.5670,1.2887,0.4652,hour_dummy_plus_lat_lon_ols,False,12.9001,0.1617,0.1898,1.3173,1.4625,x1,nugget_free
2024,7,4,lat,nu=0.5 x1 nugget_free,0.5000,1.0412,0.9199,0.3118,hour_dummy_plus_lat_lon_ols,False,12.6484,0.1556,0.2104,1.6102,0.9021,x1,nugget_free
2024,7,4,lon,nu=0.5 x1 nugget_free,0.5000,1.0795,0.9088,-0.3936,hour_dummy_plus_lat_lon_ols,False,12.6484,0.1556,0.2104,1.6102,0.9021,x1,nugget_free
2024,7,5,lat,nu=0.5 x1 nugget_free,0.5000,1.5851,1.3332,1.2857,hour_dummy_plus_lat_lon_ols,False,12.8036,0.1590,0.1955,1.2715,1.2625,x1,nugget_free
2024,7,5,lon,nu=0.5 x1 nugget_free,0.5000,1.0172,0.8614,-0.1324,hour_dummy_plus_lat_lon_ols,False,12.8036,0.1590,0.1955,1.2715,1.2625,x1,nugget_free
2024,7,6,lat,nu=0.5 x1 nugget_free,0.5000,3.9941,3.1206,2.9676,hour_dummy_plus_lat_lon_ols,False,12.6108,0.1931,0.2302,1.2987,1.6027,x1,nugget_free
2024,7,6,lon,nu=0.5 x1 nugget_free,0.5000,1.6074,1.3525,0.3687,hour_dummy_plus_lat_lon_ols,False,12.6108,0.1931,0.2302,1.2987,1.6027,x1,nugget_free
2024,7,7,lat,nu=0.5 x1 nugget_free,0.5000,2.0320,1.6257,1.2003,hour_dummy_plus_lat_lon_ols,False,14.4928,0.1843,0.2590,1.4202,1.1483,x1,nugget_free
2024,7,7,lon,nu=0.5 x1 nugget_free,0.5000,1.6094,1.3448,-0.1633,hour_dummy_plus_lat_lon_ols,False,14.4928,0.1843,0.2590,1.4202,1.1483,x1,nugget_free
2024,7,8,lat,nu=0.5 x1 nugget_free,0.5000,2.0191,1.5823,0.9923,hour_dummy_plus_lat_lon_ols,False,13.2193,0.1643,0.1640,0.9240,0.4740,x1,nugget_free
2024,7,8,lon,nu=0.5 x1 nugget_free,0.5000,1.0358,0.8821,-0.1475,hour_dummy_plus_lat_lon_ols,False,13.2193,0.1643,0.1640,0.9240,0.4740,x1,nugget_free
2024,7,9,lat,nu=0.5 x1 nugget_free,0.5000,1.4161,1.1312,0.8391,hour_dummy_plus_lat_lon_ols,False,7.9028,0.1905,0.2157,1.0600,1.6253,x1,nugget_free
2024,7,9,lon,nu=0.5 x1 nugget_free,0.5000,0.5903,0.5157,-0.0137,hour_dummy_plus_lat_lon_ols,False,7.9028,0.1905,0.2157,1.0600,1.6253,x1,nugget_free
2024,7,10,lat,nu=0.5 x1 nugget_free,0.5000,0.3975,0.3415,-0.3249,hour_dummy_plus_lat_lon_ols,False,5.4630,0.1503,0.1858,0.9502,0.6708,x1,nugget_free
2024,7,10,lon,nu=0.5 x1 nugget_free,0.5000,0.6628,0.5290,-0.4875,hour_dummy_plus_lat_lon_ols,False,5.4630,0.1503,0.1858,0.9502,0.6708,x1,nugget_free
