year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2024,7,1,lat,Corridor_4x4_lag643,1.6088,1.3146,0.6609,hour_dummy_plus_lat_lon_ols,False,11.6425,0.1815,0.2129,1.1930,0.5791
2024,7,1,lat,Debiased_Whittle,1.8551,1.4032,1.2351,hour_dummy_plus_lat_lon_ols,False,10.9915,0.2082,0.2854,1.5142,0.7321
2024,7,1,lat,Vecchia_mm20,1.1228,0.8895,-0.7797,hour_dummy_plus_lat_lon_ols,False,13.5816,0.3276,0.3979,1.9409,1.4232
2024,7,1,lon,Corridor_4x4_lag643,2.3940,1.8327,1.2695,hour_dummy_plus_lat_lon_ols,False,11.6425,0.1815,0.2129,1.1930,0.5791
2024,7,1,lon,Debiased_Whittle,2.7572,2.1297,2.1297,hour_dummy_plus_lat_lon_ols,False,10.9915,0.2082,0.2854,1.5142,0.7321
2024,7,1,lon,Vecchia_mm20,0.9573,0.7591,0.1980,hour_dummy_plus_lat_lon_ols,False,13.5816,0.3276,0.3979,1.9409,1.4232
2024,7,2,lat,Corridor_4x4_lag643,1.1357,0.9963,0.1878,hour_dummy_plus_lat_lon_ols,False,14.7694,0.1808,0.2234,1.5481,1.6144
2024,7,2,lat,Debiased_Whittle,3.5162,3.1260,3.1260,hour_dummy_plus_lat_lon_ols,False,12.1126,0.1691,0.2126,1.6113,0.8446
2024,7,2,lat,Vecchia_mm20,0.8360,0.6382,-0.5542,hour_dummy_plus_lat_lon_ols,False,15.3144,0.2670,0.3676,2.1216,2.6291
2024,7,2,lon,Corridor_4x4_lag643,1.3109,1.1112,-0.6090,hour_dummy_plus_lat_lon_ols,False,14.7694,0.1808,0.2234,1.5481,1.6144
2024,7,2,lon,Debiased_Whittle,2.6941,2.2699,2.2699,hour_dummy_plus_lat_lon_ols,False,12.1126,0.1691,0.2126,1.6113,0.8446
2024,7,2,lon,Vecchia_mm20,1.1988,0.9724,-0.8446,hour_dummy_plus_lat_lon_ols,False,15.3144,0.2670,0.3676,2.1216,2.6291
2024,7,3,lat,Corridor_4x4_lag643,1.9291,1.5204,0.8182,hour_dummy_plus_lat_lon_ols,False,12.9742,0.1626,0.1907,1.3290,1.4613
2024,7,3,lat,Debiased_Whittle,3.2713,2.5853,2.5853,hour_dummy_plus_lat_lon_ols,False,11.1961,0.1585,0.1711,1.3258,1.1950
2024,7,3,lat,Vecchia_mm20,1.0532,0.8751,-0.1662,hour_dummy_plus_lat_lon_ols,False,14.0653,0.2874,0.3729,2.2141,2.4886
2024,7,3,lon,Corridor_4x4_lag643,1.5387,1.2705,0.4113,hour_dummy_plus_lat_lon_ols,False,12.9742,0.1626,0.1907,1.3290,1.4613
2024,7,3,lon,Debiased_Whittle,2.7434,2.0527,2.0308,hour_dummy_plus_lat_lon_ols,False,11.1961,0.1585,0.1711,1.3258,1.1950
2024,7,3,lon,Vecchia_mm20,0.7052,0.6356,-0.0780,hour_dummy_plus_lat_lon_ols,False,14.0653,0.2874,0.3729,2.2141,2.4886
2024,7,4,lat,Corridor_4x4_lag643,1.0013,0.8799,0.2414,hour_dummy_plus_lat_lon_ols,False,12.7403,0.1570,0.2123,1.6480,0.9054
2024,7,4,lat,Debiased_Whittle,1.6564,1.4707,0.8440,hour_dummy_plus_lat_lon_ols,False,11.9192,0.1207,0.1577,1.4714,0.7026
2024,7,4,lat,Vecchia_mm20,2.5306,2.2415,-2.2415,hour_dummy_plus_lat_lon_ols,False,15.8208,0.2932,0.4480,2.9139,1.9332
2024,7,4,lon,Corridor_4x4_lag643,1.0938,0.9107,-0.4585,hour_dummy_plus_lat_lon_ols,False,12.7403,0.1570,0.2123,1.6480,0.9054
2024,7,4,lon,Debiased_Whittle,1.3906,1.2509,-0.0141,hour_dummy_plus_lat_lon_ols,False,11.9192,0.1207,0.1577,1.4714,0.7026
2024,7,4,lon,Vecchia_mm20,2.4638,2.1204,-2.0474,hour_dummy_plus_lat_lon_ols,False,15.8208,0.2932,0.4480,2.9139,1.9332
2024,7,5,lat,Corridor_4x4_lag643,1.5617,1.3132,1.2645,hour_dummy_plus_lat_lon_ols,False,12.8333,0.1594,0.1958,1.2907,1.2619
2024,7,5,lat,Debiased_Whittle,2.8691,2.4333,2.4308,hour_dummy_plus_lat_lon_ols,False,11.5622,0.1267,0.1609,1.0711,0.9266
2024,7,5,lat,Vecchia_mm20,0.3798,0.2630,0.2135,hour_dummy_plus_lat_lon_ols,False,14.0653,0.2695,0.3901,2.1362,2.1352
2024,7,5,lon,Corridor_4x4_lag643,1.0162,0.8594,-0.1546,hour_dummy_plus_lat_lon_ols,False,12.8333,0.1594,0.1958,1.2907,1.2619
2024,7,5,lon,Debiased_Whittle,1.7110,1.3808,0.9732,hour_dummy_plus_lat_lon_ols,False,11.5622,0.1267,0.1609,1.0711,0.9266
2024,7,5,lon,Vecchia_mm20,0.8764,0.8144,-0.5307,hour_dummy_plus_lat_lon_ols,False,14.0653,0.2695,0.3901,2.1362,2.1352
2024,7,6,lat,Corridor_4x4_lag643,4.0120,3.1340,2.9853,hour_dummy_plus_lat_lon_ols,False,12.5827,0.1928,0.2302,1.3008,1.6069
2024,7,6,lat,Debiased_Whittle,4.4669,3.4996,3.4382,hour_dummy_plus_lat_lon_ols,False,12.6908,0.1705,0.1932,1.5510,0.8884
2024,7,6,lat,Vecchia_mm20,1.8972,1.4996,1.3072,hour_dummy_plus_lat_lon_ols,False,14.6406,0.3389,0.4935,2.3595,2.6609
2024,7,6,lon,Corridor_4x4_lag643,1.6152,1.3575,0.3875,hour_dummy_plus_lat_lon_ols,False,12.5827,0.1928,0.2302,1.3008,1.6069
2024,7,6,lon,Debiased_Whittle,1.9430,1.6129,0.7191,hour_dummy_plus_lat_lon_ols,False,12.6908,0.1705,0.1932,1.5510,0.8884
