year,month,day_num,direction,lag,daily_mean,mean_pair_count,hour_1,n_pairs_hour_1,hour_2,n_pairs_hour_2,hour_3,n_pairs_hour_3,hour_4,n_pairs_hour_4,hour_5,n_pairs_hour_5,hour_6,n_pairs_hour_6,hour_7,n_pairs_hour_7,hour_8,n_pairs_hour_8
2022,7,1,lat,0.0440,3.3535,17779.0000,2.5004,17874,3.5731,17898,4.2398,17846,4.2339,17821,3.7963,17820,3.4944,17838,2.8144,17708,2.1756,17427.0000
2022,7,1,lat,0.1320,4.5789,17437.6250,3.2141,17552,4.5703,17578,5.6972,17517,5.9914,17496,5.4764,17491,4.7325,17508,4.0036,17352,2.9456,17007.0000
2022,7,1,lat,0.1760,4.8097,17273.6250,3.3737,17390,4.8249,17418,5.7958,17354,6.2639,17334,5.7183,17327,4.9897,17349,4.3323,17189,3.1793,16828.0000
2022,7,1,lat,0.3960,5.6279,16473.1250,3.8477,16588,5.3288,16619,6.2900,16555,7.1797,16534,6.6246,16521,5.9878,16553,5.5663,16398,4.1982,16017.0000
2022,7,1,lat,0.6160,6.2477,15680.3750,4.3777,15790,5.7947,15819,6.7667,15769,7.7662,15744,7.3089,15729,6.6027,15756,6.2583,15611,5.1065,15225.0000
2022,7,1,lat,0.8360,6.8871,14890.6250,4.9129,14990,6.3709,15020,7.2926,14980,8.6741,14952,8.1243,14948,7.2793,14964,6.8188,14821,5.6242,14450.0000
2022,7,1,lat,1.0560,7.5688,14096.6250,5.5927,14191,6.9401,14221,7.9548,14181,9.3689,14154,8.9761,14151,7.9640,14172,7.4758,14031,6.2783,13672.0000
2022,7,1,lat,1.2760,8.2833,13304.0000,6.4383,13396,7.6947,13422,8.8330,13381,10.1267,13354,9.8548,13359,8.6608,13388,7.9030,13240,6.7550,12892.0000
2022,7,1,lat,1.4960,9.1834,12517.5000,7.3981,12606,8.5497,12625,9.9074,12583,11.3481,12559,10.7768,12569,9.4847,12593,8.5813,12459,7.4208,12146.0000
2022,7,1,lat,1.7160,10.2248,11734.1250,8.4220,11817,9.5577,11838,10.8095,11792,12.5403,11777,12.1782,11782,10.6397,11807,9.5387,11672,8.1122,11388.0000
2022,7,1,lat,1.9360,11.5290,10950.1250,9.8134,11029,10.7756,11048,12.2058,11003,14.3256,10990,13.7818,10992,11.8080,11017,10.5238,10886,8.9983,10636.0000
2022,7,1,lat,2.1560,12.7868,10172.1250,11.1010,10242,11.6585,10259,13.6663,10223,16.2117,10202,15.4558,10205,12.9410,10234,11.4686,10114,9.7919,9898.0000
2022,7,1,lon,0.0630,3.4910,17806.8750,2.6417,17915,3.7347,17943,4.1960,17885,4.3055,17855,3.8489,17856,3.7502,17870,3.0084,17718,2.4425,17413.0000
